algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:privileged-FNRtounprivileged-FNR,diff:privileged-FPRtounprivileged-FPR,diff:privileged-TNRtounprivileged-TNR,diff:privileged-TPRtounprivileged-TPR,diff:privileged-accuracytounprivileged-accuracy,diff:privileged-calibration+tounprivileged-calibration+,diff:privileged-calibration-tounprivileged-calibration-,job-FNR,job-FNRDiff,job-FNRRatio,job-FPR,job-FPRDiff,job-FPRRatio,job-TNR,job-TNRDiff,job-TNRRatio,job-TPR,job-TPRDiff,job-TPRRatio,job-accuracy,job-accuracyDiff,job-accuracyRatio,job-calibration+,job-calibration+Diff,job-calibration+Ratio,job-calibration-,job-calibration-Diff,job-calibration-Ratio,privileged-FNR,privileged-FPR,privileged-TNR,privileged-TPR,privileged-accuracy,privileged-calibration+,privileged-calibration-,unprivileged-FNR,unprivileged-FNR_over_privileged-FNR,unprivileged-FPR,unprivileged-FPR_over_privileged-FPR,unprivileged-TNR,unprivileged-TNR_over_privileged-TNR,unprivileged-TPR,unprivileged-TPR_over_privileged-TPR,unprivileged-accuracy,unprivileged-accuracy_over_privileged-accuracy,unprivileged-calibration+,unprivileged-calibration+_over_privileged-calibration+,unprivileged-calibration-,unprivileged-calibration-_over_privileged-calibration-
GaussianNB,,0,0.6991634535154734,0.9915616924891726,0.9402482377018115,0.9402482377018115,0.37331773893944536,0.9095628620871267,0.4887640449438202,0.8598633136487294,0.9854760119940031,0.9949605189472233,1.0050394810527767,1.014523988005997,1.0121298161631689,0.9873103763218358,0.9889326361181552,0.5099793853073463,0.9854760119940031,0.9719202898550727,0.09017115371615958,0.9949605189472233,0.945631325558369,0.9098288462838404,1.0050394810527767,1.0055543155257651,0.4900206146926537,1.014523988005997,1.030085403726708,0.8605518583854814,1.0121298161631689,1.0141954375767295,0.41897164385712043,0.9873103763218358,0.9701642776614592,0.06940387009904428,0.9889326361181552,0.8523121775322706,0.5172413793103448,0.09269089424254795,0.907309105757452,0.4827586206896552,0.854486950303897,0.4253164556962025,0.0749375520399667,0.5027173913043479,0.9719202898550727,0.08765141318977121,0.945631325558369,0.9123485868102288,1.0055543155257651,0.49728260869565216,1.030085403726708,0.8666167664670659,1.0141954375767295,0.41262683201803835,0.9701642776614592,0.06387018815812187,0.8523121775322706
GaussianNB,,1,0.7132940090921291,0.982787089309577,0.8859374023509627,0.8859374023509627,0.39519047454721906,0.9077410115323735,0.5188470066518847,0.8611903656028134,1.017095433184721,0.9857736192604443,1.0142263807395557,0.9829045668152789,1.012914255637066,1.0156807751147374,0.9975425057413086,0.48238492589468607,1.017095433184721,1.0360787056168346,0.09144027725223103,0.9857736192604443,0.8556480955685957,0.908559722747769,1.0142263807395557,1.0157817244046932,0.5176150741053139,0.9829045668152789,0.9675092319583202,0.8619560007571971,1.012914255637066,1.0150955846297087,0.43472718001019883,1.0156807751147374,1.0367328654621473,0.06709596993087508,0.9975425057413086,0.9640321341319953,0.47383720930232553,0.0985534676220089,0.9014465323779911,0.5261627906976745,0.8554988729386641,0.4268867924528302,0.06832471706022077,0.4909326424870466,1.0360787056168346,0.08432708688245316,0.8556480955685957,0.9156729131175468,1.0157817244046932,0.5090673575129534,0.9675092319583202,0.8684131285757302,1.0150955846297087,0.44256756756756754,1.0367328654621473,0.06586722280152937,0.9640321341319953
GaussianNB,,2,0.699146880880746,0.9912256961423545,0.9418179272738921,0.9418179272738921,0.3654096733607598,0.9007840772014475,0.4975096845600443,0.8524318227058589,1.0151758743159038,0.9975783630013383,1.0024216369986618,0.984824125684096,1.0052513527068183,0.9705933454956128,0.9942118031710525,0.5038214588152023,1.0151758743159038,1.030582122435465,0.09907223851643948,0.9975783630013383,0.9758519826706031,0.9009277614835605,1.0024216369986618,1.0026915542910968,0.4961785411847976,0.984824125684096,0.9698751803299253,0.8527612735707184,1.0052513527068183,1.0061770766028468,0.4035922161410824,0.9705933454956128,0.9296988577362408,0.07028001988599833,0.9942118031710525,0.920898304436281,0.49623352165725043,0.10028305701577034,0.8997169429842297,0.5037664783427496,0.8501355972173092,0.418295543393276,0.07317411830047209,0.5114093959731544,1.030582122435465,0.09786142001710862,0.9758519826706031,0.9021385799828914,1.0026915542910968,0.4885906040268456,0.9698751803299253,0.8553869499241274,1.0061770766028468,0.3888888888888889,0.9296988577362408,0.06738592147152458,0.920898304436281
GaussianNB,,3,0.7052624567863561,0.9895731260998784,0.9269427733443834,0.9269427733443834,0.38266089806163206,0.9099586621570838,0.5005662514156285,0.8619865967752638,1.0137794990064255,0.9947660206005559,1.0052339793994443,0.9862205009935744,1.0072265469754516,0.983208427032785,0.9950991822436925,0.5005729370639513,1.0137794990064255,1.027911622987425,0.08973626824319664,0.9947660206005559,0.9433265321004795,0.9102637317568034,1.0052339793994443,1.0057665379678242,0.4994270629360486,0.9862205009935744,0.9727848282579425,0.8624284561766226,1.0072265469754516,1.0084145542849228,0.42325292934075043,0.983208427032785,0.9610989854675075,0.06761855663908767,0.9950991822436925,0.9300572269030929,0.4936831875607386,0.09235325794291871,0.9076467420570813,0.5063168124392614,0.8588151826888968,0.43164871582435793,0.07006896551724139,0.5074626865671642,1.027911622987425,0.08711927854347457,0.9433265321004795,0.9128807214565254,1.0057665379678242,0.4925373134328358,0.9727848282579425,0.8660417296643483,1.0084145542849228,0.41485714285714287,0.9610989854675075,0.06516814776093396,0.9300572269030929
GaussianNB,,4,0.6996397789915731,0.9802779688717167,0.8735354817970679,0.8735354817970679,0.3595561228199898,0.8987028567144035,0.5005767012687428,0.8528962908897884,1.0494794685710311,0.9883425810245983,1.0116574189754017,0.9505205314289689,1.0084528881959955,0.9817468134025331,0.9995226487309531,0.5033040413642793,1.0494794685710311,1.103391472868217,0.10064902330582137,0.9883425810245983,0.8905177761625769,0.8993509766941786,1.0116574189754017,1.0130465903349535,0.4966959586357207,0.9505205314289689,0.9051091644804127,0.8533884552711821,1.0084528881959955,1.0099543880729158,0.3895014554817544,0.9817468134025331,0.9542099793195479,0.06735743758896617,0.9995226487309531,0.9929381846635369,0.47856430707876374,0.10647773279352224,0.8935222672064778,0.5214356929212363,0.8491620111731844,0.3986280487804878,0.06759611322348964,0.5280437756497949,1.103391472868217,0.0948203138181205,0.8905177761625769,0.9051796861818795,1.0130465903349535,0.4719562243502052,0.9051091644804127,0.8576148993691799,1.0099543880729158,0.38037486218302097,0.9542099793195479,0.0671187619544427,0.9929381846635369
GaussianNB,,5,0.7015539276328645,0.987472429399867,0.9172001274922973,0.9172001274922973,0.36623508222283785,0.9011112779696652,0.5019965772960638,0.8546878110278018,0.9987057438150648,0.9914169323091256,1.0085830676908745,1.0012942561849352,1.0127736189837901,0.991956956318319,0.9915014618408325,0.49789230715582844,0.9987057438150648,0.997403904097796,0.09841116885726547,0.9914169323091256,0.9164280251151707,0.9015888311427345,1.0085830676908745,1.0095654670048901,0.5021076928441716,1.0012942561849352,1.0025809730134532,0.85544341326548,1.0127736189837901,1.0150444845809083,0.3999000467866105,0.991956956318319,0.9800876103026347,0.06733909781079658,0.9915014618408325,0.8812860450891298,0.498539435248296,0.10270270270270265,0.8972972972972973,0.501460564751704,0.8490566037735849,0.403921568627451,0.07158836689038031,0.49724517906336085,0.997403904097796,0.0941196350118283,0.9164280251151707,0.9058803649881717,1.0095654670048901,0.5027548209366391,1.0025809730134532,0.8618302227573751,1.0150444845809083,0.3958785249457701,0.9800876103026347,0.06308982873121287,0.8812860450891298
GaussianNB,,6,0.7009009563362598,0.9876159796035735,0.9184808396513487,0.9184808396513487,0.36738875310259345,0.901242002258186,0.5005599104143337,0.8537588746599429,0.9975107359176842,0.9920204796873373,1.0079795203126627,1.0024892640823158,1.0129489515234424,0.988235541199548,0.9904712418156157,0.4992365999126438,0.9975107359176842,0.9950262588816806,0.09837028375146228,0.9920204796873373,0.9220445790366143,0.9016297162485377,1.0079795203126627,1.008889444212578,0.5007634000873562,1.0024892640823158,1.0049833244345396,0.8544389287459893,1.0129489515234424,1.0152706301282688,0.40439445044167127,0.988235541199548,0.9713255483958155,0.06886915248526468,0.9904712418156157,0.8705921340420738,0.5004812319538017,0.10236004390779363,0.8976399560922064,0.49951876804619827,0.847964452984268,0.41027667984189725,0.0736335315774568,0.4979919678714859,0.9950262588816806,0.09438052359513094,0.9220445790366143,0.9056194764048691,1.008889444212578,0.5020080321285141,1.0049833244345396,0.8609134045077106,1.0152706301282688,0.3985122210414453,0.9713255483958155,0.06410477339307255,0.8705921340420738
GaussianNB,,7,0.713938157224554,0.9841234278403169,0.8911247365489694,0.8911247365489694,0.3959911461465918,0.9106941838649155,0.5171821305841925,0.8651051688673611,1.017982513019678,0.9925862443015501,1.00741375569845,0.982017486980322,1.0112242532185602,0.9708700101581116,0.9916533471727689,0.4845893426342409,1.017982513019678,1.0378103140957013,0.08887823855502752,0.9925862443015501,0.9199249729721201,0.9111217614449725,1.00741375569845,1.0081701940672076,0.5154106573657591,0.982017486980322,0.9657085290044461,0.865805614103381,1.0112242532185602,1.0130485215032938,0.42880070087193606,0.9708700101581116,0.9342980521084414,0.06447308242616347,0.9916533471727689,0.8784109326576398,0.4755980861244019,0.09258511640425249,0.9074148835957475,0.5244019138755981,0.860193487494101,0.44336569579288027,0.068646408839779,0.4935805991440799,1.0378103140957013,0.08517136070580256,0.9199249729721201,0.9148286392941974,1.0081701940672076,0.5064194008559201,0.9657085290044461,0.8714177407126611,1.0130485215032938,0.41423570595099185,0.9342980521084414,0.060299756012547924,0.8784109326576398
GaussianNB,,8,0.712562665923772,0.9882862098066092,0.9244681122733622,0.9244681122733622,0.38492127010093863,0.9004892736168612,0.524636058230683,0.8559485103841815,1.0359088761811628,0.9926779229403048,1.0073220770596953,0.9640911238188372,1.0031058794835057,0.9957147143918521,1.0027452625119688,0.4775755746808107,1.0359088761811628,1.0781271210622696,0.09910094359850335,0.9926779229403048,0.9287472184941911,0.9008990564014967,1.0073220770596953,1.0081606852516838,0.5224244253191893,0.9640911238188372,0.933548703303125,0.8561244023713869,1.0031058794835057,1.0036344292072994,0.41445997057025347,0.9957147143918521,0.9897137332542428,0.06641213464198897,1.0027452625119688,1.042209155498559,0.4596211365902293,0.10276198212835097,0.897238017871649,0.5403788634097707,0.854571462629634,0.4166026133743274,0.06503950338600452,0.4955300127713921,1.0781271210622696,0.09543990506865574,0.9287472184941911,0.9045600949313443,1.0081606852516838,0.5044699872286079,0.933548703303125,0.8576773421131397,1.0036344292072994,0.4123173277661795,0.9897137332542428,0.06778476589797344,1.042209155498559
GaussianNB,,9,0.7046509588294827,0.9952423760857332,0.9666414488927585,0.9666414488927585,0.3813790351893599,0.9081870904571816,0.5011148272017837,0.8597306084533209,1.0328967824901953,1.004184821475116,0.995815178524884,0.9671032175098048,0.9970086638347984,0.9466822241643833,0.9976061164128435,0.5016724141240299,1.0328967824901953,1.0677971018314634,0.09205734194878007,1.004184821475116,1.046516141553988,0.90794265805122,0.995815178524884,0.9954014722963525,0.4983275858759701,0.9671032175098048,0.936094954014417,0.859546515540228,0.9970086638347984,0.9965259121770137,0.4207313357773035,0.9466822241643833,0.8808248973452047,0.06895190054379768,0.9976061164128435,0.965874225327293,0.4852240228789323,0.08996493121122207,0.9100350687887779,0.5147759771210677,0.8610421836228288,0.44739022369511183,0.07014884233737596,0.5181208053691275,1.0677971018314634,0.09414975268633807,1.046516141553988,0.9058502473136619,0.9954014722963525,0.4818791946308725,0.936094954014417,0.8580508474576272,0.9965259121770137,0.3940724478594951,0.8808248973452047,0.06775495875021942,0.965874225327293
