algorithm,params,run-id,0-FNR,0-FNR_over_1-FNR,0-FPR,0-FPR_over_1-FPR,0-TNR,0-TNR_over_1-TNR,0-TPR,0-TPR_over_1-TPR,0-accuracy,0-accuracy_over_1-accuracy,0-calibration+,0-calibration+_over_1-calibration+,0-calibration-,0-calibration-_over_1-calibration-,1-FNR,1-FPR,1-TNR,1-TPR,1-accuracy,1-calibration+,1-calibration-,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:1-FNRto0-FNR,diff:1-FPRto0-FPR,diff:1-TNRto0-TNR,diff:1-TPRto0-TPR,diff:1-accuracyto0-accuracy,diff:1-calibration+to0-calibration+,diff:1-calibration-to0-calibration-,marital-FNR,marital-FNRDiff,marital-FNRRatio,marital-FPR,marital-FPRDiff,marital-FPRRatio,marital-TNR,marital-TNRDiff,marital-TNRRatio,marital-TPR,marital-TPRDiff,marital-TPRRatio,marital-accuracy,marital-accuracyDiff,marital-accuracyRatio,marital-calibration+,marital-calibration+Diff,marital-calibration+Ratio,marital-calibration-,marital-calibration-Diff,marital-calibration-Ratio
SVM,,0,1.0,1.0,0.0,0.0,1.0,1.0001231072263943,0.0,1.0,0.858839270781067,0.9612909823884601,1.0,0.0,0.14116072921893294,1.3257150716211976,1.0,0.00012309207287053425,0.9998769079271295,0.0,0.8934227892652882,0.0,0.1064789352106479,0.4999622897654423,0.9998900131984162,1.0,0.0,-0.0030113905638204804,0.9999245795308846,0.0,0.8797027403622851,1.0,0.9998769079271295,1.0001230920728705,1.0,0.9654164815157789,2.0,1.034681794008285,1.0,1.0,1.0,6.154603643526713e-05,0.9998769079271295,1.0,0.9999384539635647,1.0001230920728705,1.0001231072263943,1.0,1.0,1.0,0.8761310300231776,0.9654164815157789,0.9612909823884601,0.5,2.0,1.0,0.12381983221479043,1.034681794008285,1.3257150716211976
SVM,,1,0.9988938053097345,0.9988938053097345,0.00019466614755692113,1.5808837843101329,0.9998053338524431,0.9999284625881392,0.0011061946902654867,0.0,0.8503559013408376,0.9456544075255866,0.5,0.0,0.14952806756085443,1.4852463388415342,1.0,0.00012313754463733062,0.9998768624553627,0.0,0.8992248062015504,0.0,0.1006756008417322,0.5002003598322802,1.0002203290435256,2.989571263035921,2.989571263035921,0.009240386381995746,0.9998491476844169,0.0005515719801434088,0.879636387764581,0.9988938053097345,1.0000715286029196,0.9999284713970804,1.0011061946902655,0.9511310951392872,1.5,1.0488524667191221,0.9994469026548672,0.9988938053097345,0.9988938053097345,0.00015890184609712588,1.0000715286029196,1.5808837843101329,0.9998410981539029,0.9999284713970804,0.9999284625881392,0.0005530973451327434,1.0011061946902655,1.0,0.8747903537711941,0.9511310951392872,0.9456544075255866,0.25,1.5,1.0,0.1251018342012933,1.0488524667191221,1.4852463388415342
SVM,,2,1.0,1.0,0.0,0.0,1.0,1.0001237776952592,0.0,1.0,0.8631561571475734,0.9629442312626662,1.0,0.0,0.13684384285242654,1.3217971187417663,1.0,0.00012376237623756836,0.9998762376237624,0.0,0.8963719072450904,0.0,0.10352862849533954,0.49996243143737323,0.999889049151226,1.0,0.0,-0.0029639687016377375,0.9999248628747465,0.0,0.8830203702474951,1.0,0.9998762376237624,1.0001237623762376,1.0,0.966784249902483,2.0,1.033315214357087,1.0,1.0,1.0,6.188118811878418e-05,0.9998762376237624,1.0,0.9999381188118812,1.0001237623762376,1.0001237776952592,1.0,1.0,1.0,0.8797640321963319,0.966784249902483,0.9629442312626662,0.5,2.0,1.0,0.12018623567388304,1.033315214357087,1.3217971187417663
SVM,,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8628038628038628,0.9608497563043017,1.0,1.0,0.13719613719613719,1.3445221445221445,1.0,0.0,1.0,0.0,0.8979591836734694,1.0,0.10204081632653061,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.883949306615354,1.0,1.0,1.0,1.0,0.9648446791303934,1.0,1.0351553208696065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.880381523238666,0.9648446791303934,0.9608497563043017,1.0,1.0,1.0,0.1196184767613339,1.0351553208696065,1.3445221445221445
SVM,,4,1.0,1.0,0.0,0.0,1.0,1.0001236858379716,0.0,1.0,0.8613162645658953,0.9564498977455298,1.0,0.0,0.1386837354341047,1.395699431605334,1.0,0.0001236705416769457,0.999876329458323,0.0,0.9005346402316774,0.0,0.09936504400133675,0.49996250187490626,0.9998886166184006,1.0,0.0,-0.0029401064691850997,0.9999250037498125,0.0,0.8846791851901002,1.0,0.999876329458323,1.000123670541677,1.0,0.9607816243342179,2.0,1.039318691432768,1.0,1.0,1.0,6.183527083847284e-05,0.999876329458323,1.0,0.9999381647291615,1.000123670541677,1.0001236858379716,1.0,1.0,1.0,0.8809254523987864,0.9607816243342179,0.9564498977455298,0.5,2.0,1.0,0.11902438971772072,1.039318691432768,1.395699431605334
SVM,,5,1.0,1.0010570824524314,0.0,1.0,1.0,1.0,0.0,0.0,0.8599766627771295,0.9600920852466304,1.0,1.0,0.14002333722287047,1.3426550654848393,0.9989440337909187,0.0,1.0,0.0010559662090813093,0.8957231040564374,1.0,0.10428839157755485,0.5002797985450476,0.999889770723104,1.0,0.0,0.02220984517316679,1.0,0.0005595970900951316,0.8814942605002986,1.0010559662090812,1.0,1.0,0.9989440337909187,0.9642535587206921,1.0,1.0357349456453155,0.9994720168954594,1.0010559662090812,1.0010570824524314,1.0,1.0,1.0,1.0,1.0,1.0,0.0005279831045406547,0.9989440337909187,1.0,0.8778498834167834,0.9642535587206921,0.9600920852466304,1.0,1.0,1.0,0.12215586440021266,1.0357349456453155,1.3426550654848393
SVM,,6,1.0,1.0010373443983402,0.00039808917197448057,0.0,0.9996019108280255,0.9996019108280255,0.0,0.0,0.8543722354542361,0.9544591032362125,0.0,0.0,0.1453369639210347,1.3858271497532686,0.9989637305699481,0.0,1.0,0.0010362694300518134,0.8951376046992277,1.0,0.10487380330722368,0.5001994159977844,1.00023147336796,3.127934671657026,3.127934671657026,0.009209978609430083,0.9998490793842438,0.0005497526113249038,0.8792382721783558,1.0010362694300519,1.0003980891719744,0.9996019108280255,0.9989637305699481,0.9592346307550085,0.0,1.040463160613811,0.9994818652849741,1.0010362694300519,1.0010373443983402,0.00019904458598724029,1.0003980891719744,1.0,0.9998009554140128,0.9996019108280255,0.9996019108280255,0.0005181347150259067,0.9989637305699481,1.0,0.874754920076732,0.9592346307550085,0.9544591032362125,0.5,1.0,1.0,0.1251053836141292,1.040463160613811,1.3858271497532686
SVM,,7,1.0,1.0010905125408942,0.00019508388607103466,0.0,0.999804916113929,0.999804916113929,0.0,0.0,0.8584589614740369,0.9546474839168145,0.0,0.0,0.14139721896465068,1.4031785088095108,0.9989106753812637,0.0,1.0,0.0010893246187363835,0.899241841555873,1.0,0.10076923076923076,0.5002461998823221,1.000057626152224,1.5244556113902847,1.5244556113902847,0.013735241094031894,0.9999248628747465,0.0005675368898978433,0.8830867228451994,1.0010893246187362,1.0001950838860711,0.999804916113929,0.9989106753812637,0.9592171199181639,0.0,1.04062798819542,0.9994553376906319,1.0010893246187362,1.0010905125408942,9.754194303551733e-05,1.0001950838860711,1.0,0.9999024580569644,0.999804916113929,0.999804916113929,0.0005446623093681918,0.9989106753812637,1.0,0.878850401514955,0.9592171199181639,0.9546474839168145,0.5,1.0,1.0,0.12108322486694073,1.04062798819542,1.4031785088095108
SVM,,8,1.0,1.0010917030567685,0.00019565642731367294,1.605752298963807,0.9998043435726863,0.9999261817817495,0.0,0.0,0.859256768118379,0.9552648656405618,0.0,0.0,0.14059872182980154,1.4001545202308403,0.9989094874591058,0.00012184720360663981,0.9998781527963934,0.0010905125408942203,0.8994958351600175,0.5,0.10041657531243148,0.5002101389787075,0.9999489499050763,0.7671094669581301,0.7671094669581301,0.009551215480364007,0.9998498273013966,0.0005704506560182544,0.883617543626833,1.0010905125408942,1.0000738092237071,0.999926190776293,0.9989094874591058,0.9597609329583615,0.5,1.04018214651737,0.9994547437295529,1.0010905125408942,1.0010917030567685,0.00015875181546015638,1.0000738092237071,1.605752298963807,0.9998412481845398,0.999926190776293,0.9999261817817495,0.0005452562704471102,0.9989094874591058,1.0,0.8793763016391982,0.9597609329583615,0.9552648656405618,0.25,0.5,1.0,0.12050764857111651,1.04018214651737,1.4001545202308403
SVM,,9,0.9976498237367802,0.9976498237367802,0.0,1.0,1.0,1.0,0.0023501762632197414,0.0,0.8590403453428525,0.9583966762838629,1.0,1.0,0.1410064773293473,1.3601562973090984,1.0,0.0,1.0,0.0,0.8963306808134395,1.0,0.10366931918656057,0.5005589714924539,1.0003320604349992,1.0,0.0,0.03139058064174264,1.0,0.0011179429849077697,0.8814279079025944,0.9976498237367802,1.0,1.0,1.0023501762632196,0.962709664529413,1.0,1.0373371581427868,0.9988249118683901,0.9976498237367802,0.9976498237367802,1.0,1.0,1.0,1.0,1.0,1.0,0.0011750881316098707,1.0023501762632196,1.0,0.877685513078146,0.962709664529413,0.9583966762838629,1.0,1.0,1.0,0.12233789825795394,1.0373371581427868,1.3601562973090984
