algorithm,params,run-id,BCR,CV,DIavgall,DIbinary,MCC,TNR,TPR,accuracy,diff:married-FNRtodivorced-FNR,diff:married-FNRtosingle-FNR,diff:married-FPRtodivorced-FPR,diff:married-FPRtosingle-FPR,diff:married-TNRtodivorced-TNR,diff:married-TNRtosingle-TNR,diff:married-TPRtodivorced-TPR,diff:married-TPRtosingle-TPR,diff:married-accuracytodivorced-accuracy,diff:married-accuracytosingle-accuracy,diff:married-calibration+todivorced-calibration+,diff:married-calibration+tosingle-calibration+,diff:married-calibration-todivorced-calibration-,diff:married-calibration-tosingle-calibration-,divorced-FNR,divorced-FNR_over_married-FNR,divorced-FPR,divorced-FPR_over_married-FPR,divorced-TNR,divorced-TNR_over_married-TNR,divorced-TPR,divorced-TPR_over_married-TPR,divorced-accuracy,divorced-accuracy_over_married-accuracy,divorced-calibration+,divorced-calibration+_over_married-calibration+,divorced-calibration-,divorced-calibration-_over_married-calibration-,marital-FNR,marital-FNRDiff,marital-FNRRatio,marital-FPR,marital-FPRDiff,marital-FPRRatio,marital-TNR,marital-TNRDiff,marital-TNRRatio,marital-TPR,marital-TPRDiff,marital-TPRRatio,marital-accuracy,marital-accuracyDiff,marital-accuracyRatio,marital-calibration+,marital-calibration+Diff,marital-calibration+Ratio,marital-calibration-,marital-calibration-Diff,marital-calibration-Ratio,married-FNR,married-FPR,married-TNR,married-TPR,married-accuracy,married-calibration+,married-calibration-,single-FNR,single-FNR_over_married-FNR,single-FPR,single-FPR_over_married-FPR,single-TNR,single-TNR_over_married-TNR,single-TPR,single-TPR_over_married-TPR,single-accuracy,single-accuracy_over_married-accuracy,single-calibration+,single-calibration+_over_married-calibration+,single-calibration-,single-calibration-_over_married-calibration-
SVM,,0,0.5002480135761118,0.9997795414462081,1.0,0.0,0.01379886676526036,0.9999249249249249,0.0005711022272986865,0.8838166014199456,1.0011198208286674,1.0011198208286674,0.9998777356645067,0.9998777356645067,1.0001222643354932,1.0001222643354932,0.9988801791713325,0.9988801791713325,0.9808207881622814,0.944716127498774,1.5,1.5,1.0192677598544182,1.0553724205179256,1.0,1.001121076233184,0.0,0.0,1.0,1.000122279285889,0.0,0.0,0.8823860438942037,0.9787267624658536,1.0,2.0,0.11761395610579628,1.1959176926901034,0.9996267263904443,1.0011198208286674,1.001121076233184,4.0754778497779455e-05,0.9998777356645067,1.0,0.9999592452215023,1.0001222643354932,1.000122279285889,0.0003732736095558044,0.9988801791713325,1.0,0.8767442276189409,0.9627684578305277,0.9587034416723985,0.8333333333333334,1.5,2.0,0.12322625637549271,1.0373200901861719,1.3794767017809173,0.9988801791713325,0.00012226433549333837,0.9998777356645067,0.0011198208286674132,0.9015652557319224,0.5,0.09834619625137817,1.0,1.001121076233184,0.0,0.0,1.0,1.000122279285889,0.0,0.0,0.8462813832306963,0.9386801208789434,1.0,2.0,0.15371861676930365,1.5630357108717312
SVM,,1,0.5004814633061963,1.000114129958235,1.0500346660503814,1.5185494652406417,0.019152268902579588,0.9998493408662901,0.0011135857461024498,0.8808307345232566,1.001081081081081,0.9995659295659296,0.9998774810095565,1.000150183491149,1.0001225189904435,0.9998498165088509,0.9989189189189189,1.0004340704340704,0.9744552076523865,0.9492631496438315,1.5,1.0,1.0256324546984508,1.0506638332257008,1.0,1.001082251082251,0.0,0.0,1.0,1.0001225340031858,0.0,0.0,0.8726614363307181,0.9715602146455814,1.0,2.0,0.12733856366928184,1.2520247304495946,0.9991345891345892,1.0003235053235053,1.0003238554374918,0.00013174049067869267,1.0000138322503527,1.1128988273799372,0.9998682595093213,0.9999861677496471,0.9999861660547262,0.0008654108654108654,0.9996764946764947,0.7007575757575758,0.8727790144437376,0.961859178648109,0.9575366768408927,0.6666666666666666,1.25,1.5,0.12713820494554826,1.0381481439620757,1.3750821297569895,0.9989189189189189,0.00012251899044346537,0.9998774810095565,0.001081081081081081,0.8982062286783317,0.5,0.10170610897083104,0.9984848484848485,0.9995654597927326,0.0002727024815926127,2.2257976547598743,0.9997272975184074,0.9998497981062665,0.0015151515151515152,1.4015151515151516,0.8474693783221632,0.943513139036204,0.5,1.0,0.1523699421965318,1.4981395290643846
SVM,,2,0.49992504310021735,0.9997806777058889,1.0,0.0,-0.004148600743759556,0.9998500862004347,0.0,0.8850773007763254,1.0,1.0,0.999755769935279,0.999755769935279,1.000244230064721,1.000244230064721,1.0,1.0,0.9758646515487673,0.9643721718268153,2.0,2.0,1.0243322982836214,1.0358247780055734,1.0,1.0,0.0,0.0,1.0,1.000244289727617,0.0,1.0,0.8736604624929498,0.9731171073009905,1.0,0.0,0.1263395375070502,1.2385350144642762,1.0,1.0,1.0,8.141002157365425e-05,0.999755769935279,1.0,0.9999185899784263,1.000244230064721,1.000244289727617,1.0,1.0,1.0,0.8778747520693767,0.9701184116877913,0.9667167211653804,0.6666666666666666,2.0,1.0,0.12205959798649373,1.0300785381445974,1.2948667013594566,1.0,0.00024423006472096276,0.999755769935279,0.0,0.8977958109441825,0.0,0.10200723922342876,1.0,1.0,0.0,0.0,1.0,1.000244289727617,0.0,1.0,0.8621679827709978,0.9603163350297702,1.0,0.0,0.13783201722900215,1.3511983882546372
SVM,,3,0.5002371461517234,1.0000579072336795,1.07077357159652,1.5274190843535134,0.013413617751900518,0.9999245396921219,0.0005497526113249038,0.87930462477606,1.0010362694300519,1.0010362694300519,1.0,1.0002769315978952,1.0,0.9997230684021047,0.9989637305699481,0.9989637305699481,0.9818644106973626,0.9546536217530606,1.0,0.0,1.018123967361396,1.0451351296352211,1.0,1.0010373443983402,0.0,1.0,1.0,1.0,0.0,0.0,0.8760233918128655,0.9797177127494572,1.0,1.0,0.1239766081871345,1.1712188493363422,0.9996545768566495,1.0010362694300519,1.0010373443983402,9.231053263177487e-05,1.0001384657989476,0.5,0.9999076894673683,0.9998615342010524,0.9998615342010524,0.0003454231433506045,0.9989637305699481,1.0,0.872998325265644,0.9682590162252116,0.9645018565544239,0.6666666666666666,0.5,0.5,0.1269390064912775,1.0316295484983087,1.2988073632511372,0.9989637305699481,0.0,1.0,0.0010362694300518134,0.8941589811155028,1.0,0.10585264082573845,1.0,1.0010373443983402,0.0002769315978953246,0.0,0.9997230684021047,0.9997230684021047,0.0,0.0,0.8488126028685634,0.9492860003593905,0.0,0.0,0.15098777046095954,1.426395877165932
SVM,,4,0.4999251328891218,1.0000561857704715,1.055542617605962,1.5093240093240092,-0.004126897925583286,0.9998502657782437,0.0,0.8861389423395926,1.0,1.0,0.9998774810095565,1.000149367904608,1.0001225189904435,0.9998506320953918,1.0,1.0,0.9858223448510498,0.9560353458217588,2.0,1.0,1.0142769794854452,1.0438645116776033,1.0,1.0,0.0,0.0,1.0,1.0001225340031858,0.0,1.0,0.8860981308411215,0.9842518755146142,1.0,0.0,0.11390186915887851,1.143307355543826,1.0,1.0,1.0,0.0001314686284983694,1.0000134244570824,1.1095704187062378,0.9998685313715017,0.9999865755429176,0.9999865738979652,1.0,1.0,1.0,0.8808950162143413,0.9709288453364042,0.967708612054222,0.3333333333333333,1.5,0.5,0.11900538672778282,1.0290707455815242,1.2918020353830955,1.0,0.00012251899044346537,0.9998774810095565,0.0,0.9002757859900717,0.0,0.09962488967343336,1.0,1.0,0.0002718868950516429,2.2191408374124757,0.9997281131049484,0.9998506137927445,0.0,1.0,0.8563111318118305,0.9511653485938296,0.0,1.0,0.14348940135103658,1.440296715222365
SVM,,5,0.5002813731007316,0.9998900857331282,1.0,0.0,0.022280631565322243,1.0,0.0005627462014631402,0.8821577864773406,1.0010917030567685,1.0010917030567685,1.0,1.0,1.0,1.0,0.9989082969432315,0.9989082969432315,0.9736418800882481,0.9492931450968245,1.0,1.0,1.026347064447952,1.0506957994393755,1.0,1.0010928961748633,0.0,1.0,1.0,1.0,0.0,0.0,0.8730703259005146,0.9706945893978837,1.0,1.0,0.1269296740994854,1.261944530363955,0.9996360989810772,1.0010917030567685,1.0010928961748633,1.0,1.0,1.0,1.0,1.0,1.0,0.00036390101892285295,0.9989082969432315,1.0,0.8737401208739574,0.9614675125925363,0.9571589184366243,1.0,1.0,1.0,0.12626356428064264,1.0385214319436638,1.3829830233786988,0.9989082969432315,0.0,1.0,0.001091703056768559,0.8994284458122664,1.0,0.10058260965153347,1.0,1.0010928961748633,0.0,1.0,1.0,1.0,0.0,0.0,0.8487215909090909,0.9436232474753647,1.0,1.0,0.1512784090909091,1.5040215163934427
SVM,,6,0.5008455467869222,1.00022828426126,2.17062173706692,3.0881161377447675,0.038630724057591506,1.0,0.0016910935738444193,0.8824895494658616,1.0010787486515642,0.9979634838540564,1.0,1.0,1.0,1.0,0.9989212513484358,1.0020365161459437,0.9813523367837984,0.9493606743497509,1.0,1.0,1.0186365944016686,1.0507003720794814,1.0,1.0010799136069115,0.0,1.0,1.0,1.0,0.0,0.0,0.8801169590643275,0.9792518944850267,1.0,1.0,0.11988304093567251,1.1840715900622685,0.9986019955169759,0.9995211162528104,0.9995205990997356,1.0,1.0,1.0,1.0,1.0,1.0,0.0013980044830239912,1.0004788837471899,1.4439252336448598,0.8756689593250456,0.9653565055667747,0.9614543189903039,1.0,1.0,1.0,0.12435876869438722,1.034668483240575,1.342416790192547,0.9989212513484358,0.0,1.0,0.0010787486515641855,0.8987646222805291,1.0,0.10124644653400394,0.9968847352024922,0.9979612845925597,0.0,1.0,1.0,1.0,0.003115264797507788,2.8878504672897196,0.84812529663028,0.943656743495581,1.0,1.0,0.15194681861348527,1.5007619903228253
SVM,,7,0.5002898550724638,0.9998886042107609,1.0,0.0,0.022658146704671988,1.0,0.0005797101449275362,0.885608121557959,1.0011210762331837,1.0011210762331837,1.0,1.0,1.0,1.0,0.9988789237668162,0.9988789237668162,0.9678953474854346,0.9603454019867782,1.0,1.0,1.03209359484431,1.0396435403429665,1.0,1.0011223344556677,0.0,1.0,1.0,1.0,0.0,0.0,0.868641699273337,0.9643577212931915,1.0,1.0,0.13135830072666294,1.3233132517649007,0.9996263079222721,1.0011210762331837,1.0011223344556677,1.0,1.0,1.0,1.0,1.0,1.0,0.0003736920777279522,0.9988789237668162,1.0,0.8768266016119733,0.9641203747361065,0.9601667825879332,1.0,1.0,1.0,0.12317708427811175,1.035868567593638,1.3613426068692442,0.9988789237668162,0.0,1.0,0.0011210762331838565,0.9007463517879024,1.0,0.09926470588235294,1.0,1.0011223344556677,0.0,1.0,1.0,1.0,0.0,0.0,0.8610917537746806,0.9559758438826748,1.0,1.0,0.1389082462253194,1.399371961973588
SVM,,8,0.5002520493738188,0.9997800263968324,1.0,0.0,0.013939512628504005,0.9999250599520384,0.0005790387955993051,0.8854090637648464,1.0010822510822512,1.0010822510822512,0.9998775710088149,0.9998775710088149,1.000122428991185,1.000122428991185,0.9989177489177489,0.9989177489177489,0.984873572322518,0.9602775936929762,1.5,1.5,1.0152140783255208,1.0398100569550626,1.0,1.001083423618635,0.0,0.0,1.0,1.0001224439818783,0.0,0.0,0.8832457676590777,0.9831624044510693,1.0,2.0,0.11675423234092236,1.1498331224041,0.9996392496392495,1.0010822510822512,1.001083423618635,4.080966372836207e-05,0.9998775710088149,1.0,0.9999591903362717,1.000122428991185,1.0001224439818783,0.00036075036075036075,0.9989177489177489,1.0,0.8800892506750578,0.9725755830077472,0.9694732126232171,0.8333333333333334,1.5,2.0,0.11988153244226267,1.0275120676402918,1.270947665059861,0.9989177489177489,0.0001224289911850862,0.9998775710088149,0.0010822510822510823,0.8983721953365597,0.5,0.10154015401540153,1.0,1.001083423618635,0.0,0.0,1.0,1.0001224439818783,0.0,0.0,0.8586497890295358,0.9557840207953647,1.0,2.0,0.14135021097046413,1.392062207715622
SVM,,9,0.5005675368898979,0.9997801231310466,1.0,0.0,0.03166230600510444,1.0,0.0011350737797956867,0.8832194280406078,1.0021459227467813,1.0021459227467813,1.0,1.0,1.0,1.0,0.9978540772532188,0.9978540772532188,0.99260627551168,0.9513705139831737,1.0,1.0,1.007371238729784,1.0486070002582903,1.0,1.0021505376344086,0.0,1.0,1.0,1.0,0.0,0.0,0.8903635314483554,0.9917642275354203,1.0,1.0,0.10963646855164455,1.072079618288877,0.9992846924177395,1.0021459227467813,1.0021505376344086,1.0,1.0,1.0,1.0,1.0,1.0,0.000715307582260372,0.9978540772532188,1.0,0.87908285243496,0.9719883947474268,0.9687982413204256,1.0,1.0,1.0,0.12092464281788533,1.0279891194940372,1.2736914544933051,0.9978540772532188,0.0,1.0,0.002145922746781116,0.8977572559366754,1.0,0.10226522982186056,1.0,1.0021505376344086,0.0,1.0,1.0,1.0,0.0,0.0,0.8491277699198492,0.9458322551054309,1.0,1.0,0.15087223008015088,1.4753032906977335
