from,to,n
Bank,ORG-017-DS-0,5
Bank,ORG-017-DS-2,4
ORG-017-DS-0,"{""age"": ""age"", ""job"": ""employment""}",1
ORG-017-DS-0,"{""age"": ""age""}",4
ORG-017-DS-2,"{""age"": ""age""}",1
ORG-017-DS-2,"{""job"": ""profession""}",1
ORG-017-DS-2,"{""marital"": ""marital_status""}",2
"{""age"": ""age"", ""job"": ""employment""}",age >= 35; job: privileged vs. unprivileged,1
"{""age"": ""age""}",?,1
"{""age"": ""age""}",age >= 25,1
"{""age"": ""age""}",age >= 25 and age < 60,3
"{""job"": ""profession""}",none,1
"{""marital"": ""marital_status""}",marital == married,1
"{""marital"": ""marital_status""}",none,1
