,model,seed,settings,base_rates,hash_train,hash_test,accuracy,balanced accuracy,f1,precision,true positive rate,true negative rate,false positive rate,false negative rate,selection rate,count,equalized_odds_difference,equalized_odds_ratio,demographic_parity_difference,demographic_parity_ratio
LinearModel,LinearModel,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9100708944352724,0.7063931350548255,0.5275510204081633,0.6519546027742749,0.44301628106255353,0.9697699890470974,0.03023001095290252,0.5569837189374465,0.07701272215208313,10297,0.19982163347383014,0.18754713269287518,0.21305552692752527,0.233000103060909
NeuralNetTorch,NeuralNetTorch,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9114305137418666,0.7718072570722243,0.6020942408376964,0.6133333333333333,0.5912596401028277,0.952354874041621,0.04764512595837897,0.4087403598971722,0.10925512285131592,10297,0.15156865168340955,0.21184301124627034,0.25030180884040515,0.274735246579509
LightGBMLarge,LightGBMLarge,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9145382150140817,0.7556228653806627,0.5933456561922367,0.6439317953861585,0.5501285347043702,0.9611171960569551,0.03888280394304491,0.4498714652956298,0.09682431776245508,10297,0.09994773974392479,0.2661022280026182,0.19560422667709074,0.30425802008268327
WeightedEnsemble_L2,WeightedEnsemble_L2,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9152180246673789,0.7477851579254621,0.5868433506862281,0.6553911205073996,0.5312767780634104,0.9642935377875137,0.03570646221248631,0.46872322193658955,0.0918714188598621,10297,0.10893423160382176,0.24590227826832559,0.19550064525845215,0.29190619949072827
KNeighborsUnif,KNeighborsUnif,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.8790586569937184,0.6158061416143911,0.3518255097202465,0.5174337517433751,0.2665229885057471,0.9650892947230351,0.034910705276964986,0.7334770114942529,0.06343448641953464,11303,0.04642967525443184,0.837946910155648,0.006442399582053102,0.9051156264320659
KNeighborsDist,KNeighborsDist,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.8783508802972663,0.6221949705830164,0.36372049976862564,0.5110533159947984,0.2823275862068966,0.9620623549591363,0.037937645040863686,0.7176724137931034,0.0680350349464744,11303,0.05737134909596664,0.8133484162895928,0.005523184414663235,0.9232517504814621
LightGBMXT,LightGBMXT,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9058656993718481,0.7104400138241846,0.5413793103448277,0.6767241379310345,0.4511494252873563,0.969730602361013,0.030269397638986985,0.5488505747126436,0.08210209678846324,11303,0.0342819573588804,0.6960283526933797,0.03355617226138129,0.6808168852756709
LightGBM,LightGBM,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.9105547199858445,0.7341085662395319,0.5792759051186017,0.6884272997032641,0.5,0.9682171324790637,0.031782867520936335,0.5,0.08944528001415554,11303,0.03583570655893331,0.7499239888124266,0.0374965443383872,0.671674093957574
RandomForestGini,RandomForestGini,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.904007785543661,0.6868420972517475,0.5056947608200456,0.6911581569115816,0.39870689655172414,0.9749772979517708,0.02502270204822924,0.6012931034482759,0.07104308590639653,11303,0.022130647130647108,0.8115955473098331,0.025166945628354018,0.7147746162119878
RandomForestEntr,RandomForestEntr,80539,"{'dataset': 'ORG-017-DS-2', 'protected_attrs': ['marital'], 'process_protected': 'none'}","{('married',): 27214, ('single',): 12790, ('divorced',): 5207}",6b8b84c4ed63a1bedd3bc4f89b440009,3604d0fdc9e85cfa14daf14eae5ba6ad,0.902680704237813,0.6811454198110308,0.49494949494949503,0.6857506361323156,0.38721264367816094,0.9750781959439008,0.024921804056099284,0.6127873563218391,0.06953906042643546,11303,0.069467925237156,0.8292105642949921,0.022937607914851027,0.7314703483667989
